ID_Email;Score
1;0.459192951
2;0.155184557
3;0.591607978
4;0.421716333
5;0.590884616
6;0.435969504
7;0.688178859
8;0.661825303
9;0.736083248
10;0.124573094
11;0.3
12;0.5
13;0.611852622
14;0.524620719
15;0.577558933
16;0.745391022
17;0.761166261
18;0.591607978
19;0.683173964
20;0.643525901
21;0.440055868
22;0.845193974
23;0.235772731
24;0.760955244
25;0.685254898
26;0.393628343
27;0.240822469
28;0.729689784
29;0.562373057
30;0.845193974
31;0.745391022
32;0.214112737
33;0.611852622
34;0.577558933
35;0.509088211
36;0.643392093
37;0.485679626
38;0.5
39;0.253621609
40;0.144224957
41;0.144224957
42;0.3
43;0.719655845
44;0.793725393
45;0.793725393
46;0.1
47;0.719655845
48;0.591607978
49;0.9
50;0.729942726
51;0.543878653
52;0.407596555
53;0.478673986
54;0.485679626
55;0.5
56;0.572033178
57;0.761166261
58;0.723652756
59;0.550453797
60;0.240822469
61;0.387298335
62;0.688178859
63;0.5
64;0.688178859
65;0.628150639
66;0.534805188
67;0.124573094
68;0.173205081
69;0.25642542
70;0.227950706
71;0.144224957
72;0.3
73;0.332269903
74;0.407596555
75;0.22649344
76;0.240822469
77;0.246621207
78;0.124573094
79;0.136873811
80;0.144224957
81;0.214112737
82;0.266726861
83;0.559344471
84;0.868261296
85;0.5
86;0.652498383
87;0.611852622
88;0.774026497
89;0.680409212
90;0.5
91;0.543878653
92;0.552429772
93;0.9
94;0.793725393
95;0.5
96;0.774026497
97;0.793725393
98;0.745391022
99;0.827677253
100;0.591607978
